kaz	rus	category1
аспаз	повар	Профессии, занятия / Мамандықтар, кәсiптер
аудармашы	переводчик	Профессии, занятия / Мамандықтар, кәсiптер
аудитор	аудитор	Профессии, занятия / Мамандықтар, кәсiптер
аула сыпырушы (көше сыпырушы)	дворник	Профессии, занятия / Мамандықтар, кәсiптер
әбзелші	ремесленник	Профессии, занятия / Мамандықтар, кәсiптер
әкім	аким, мэр	Профессии, занятия / Мамандықтар, кәсiптер
әкімгер	администратор	Профессии, занятия / Мамандықтар, кәсiптер
әнші	певец	Профессии, занятия / Мамандықтар, кәсiптер
әртіс	артист	Профессии, занятия / Мамандықтар, кәсiптер
бағбан	садовник	Профессии, занятия / Мамандықтар, кәсiптер
бағдарламашы	программист	Профессии, занятия / Мамандықтар, кәсiптер
бала бағушы	няня	Профессии, занятия / Мамандықтар, кәсiптер
балташы	плотник	Профессии, занятия / Мамандықтар, кәсiптер
балуан	борец	Профессии, занятия / Мамандықтар, кәсiптер
балықшы	рыбак	Профессии, занятия / Мамандықтар, кәсiптер
барлаушы	разведчик	Профессии, занятия / Мамандықтар, кәсiптер
бас директор	главный директор	Профессии, занятия / Мамандықтар, кәсiптер
бас маман	главный специалист	Профессии, занятия / Мамандықтар, кәсiптер
басқарушы	управляющий	Профессии, занятия / Мамандықтар, кәсiптер
баспагер	издатель	Профессии, занятия / Мамандықтар, кәсiптер
бастық	начальник	Профессии, занятия / Мамандықтар, кәсiптер
басшы, жетекші	руководитель	Профессии, занятия / Мамандықтар, кәсiптер
биші	танцор	Профессии, занятия / Мамандықтар, кәсiптер
бояушы	маляр	Профессии, занятия / Мамандықтар, кәсiптер
ғалым	учёный	Профессии, занятия / Мамандықтар, кәсiптер
ғарышкер	космонавт	Профессии, занятия / Мамандықтар, кәсiптер
даяшы	официант	Профессии, занятия / Мамандықтар, кәсiптер
дәрігер	врач	Профессии, занятия / Мамандықтар, кәсiптер
дирижер	дирижёр	Профессии, занятия / Мамандықтар, кәсiптер
домбырашы	домбрист	Профессии, занятия / Мамандықтар, кәсiптер
драматург	драматург	Профессии, занятия / Мамандықтар, кәсiптер
дублер	дублёр	Профессии, занятия / Мамандықтар, кәсiптер
егінші	земледелец	Профессии, занятия / Мамандықтар, кәсiптер
есепші	бухгалтер	Профессии, занятия / Мамандықтар, кәсiптер
етікші	сапожник	Профессии, занятия / Мамандықтар, кәсiптер
жазушы	писатель	Профессии, занятия / Мамандықтар, кәсiптер
жанкүйер	болельщик	Профессии, занятия / Мамандықтар, кәсiптер
жаттықтырушы	тренер	Профессии, занятия / Мамандықтар, кәсiптер
жедел уәкіл	оперуполномоченный	Профессии, занятия / Мамандықтар, кәсiптер
жендет	палач	Профессии, занятия / Мамандықтар, кәсiптер
жобалаушы	проектировщик	Профессии, занятия / Мамандықтар, кәсiптер
жолсерік	проводник	Профессии, занятия / Мамандықтар, кәсiптер
жұмысшы (жұмыскер)	рабочий	Профессии, занятия / Мамандықтар, кәсiптер
жүк тасушы(жүк көтеруші)	носильщик	Профессии, занятия / Мамандықтар, кәсiптер
жүргізуші	водитель, ведущий	Профессии, занятия / Мамандықтар, кәсiптер
заңгер	юрист	Профессии, занятия / Мамандықтар, кәсiптер
зергер	ювелир	Профессии, занятия / Мамандықтар, кәсiптер
зерттеуші	исследователь	Профессии, занятия / Мамандықтар, кәсiптер
кәсіпкер	предприниматель	Профессии, занятия / Мамандықтар, кәсiптер
кенші	шахтер	Профессии, занятия / Мамандықтар, кәсiптер
кеңес беруші	консультант	Профессии, занятия / Мамандықтар, кәсiптер
кеңесші	советник	Профессии, занятия / Мамандықтар, кәсiптер
көмекші	помощник	Профессии, занятия / Мамандықтар, кәсiптер
күрескер	борец	Профессии, занятия / Мамандықтар, кәсiптер
қақпашы	вратарь	Профессии, занятия / Мамандықтар, кәсiптер
қаржыгер	финансист	Профессии, занятия / Мамандықтар, кәсiптер
қасапшы	мясник	Профессии, занятия / Мамандықтар, кәсiптер
қойшы	чабан овец	Профессии, занятия / Мамандықтар, кәсiптер
қорғаушы	адвокат	Профессии, занятия / Мамандықтар, кәсiптер
қорықшы	егерь	Профессии, занятия / Мамандықтар, кәсiптер
құрылысшы	строитель	Профессии, занятия / Мамандықтар, кәсiптер
құтқарушы	спасатель	Профессии, занятия / Мамандықтар, кәсiптер
қызметкер	сотрудник, служащий	Профессии, занятия / Мамандықтар, кәсiптер
қызметші	служащий	Профессии, занятия / Мамандықтар, кәсiптер
мал дәрігері	ветеринар	Профессии, занятия / Мамандықтар, кәсiптер
малшы	пастух, скотовод	Профессии, занятия / Мамандықтар, кәсiптер
маман	специалист	Профессии, занятия / Мамандықтар, кәсiптер
менеджер	менеджер	Профессии, занятия / Мамандықтар, кәсiптер
музыкант	музыкант	Профессии, занятия / Мамандықтар, кәсiптер
мұғалiм	учитель	Профессии, занятия / Мамандықтар, кәсiптер
мұнайшы	нефтяник	Профессии, занятия / Мамандықтар, кәсiптер
мүсінші	скульптор	Профессии, занятия / Мамандықтар, кәсiптер
нұсқаушы	инструктор	Профессии, занятия / Мамандықтар, кәсiптер
оқушы	ученик	Профессии, занятия / Мамандықтар, кәсiптер
оқытушы	преподаватель	Профессии, занятия / Мамандықтар, кәсiптер
орынбасар	заместитель	Профессии, занятия / Мамандықтар, кәсiптер
орындаушы	исполнитель	Профессии, занятия / Мамандықтар, кәсiптер
өңдеуші	аранжировщик	Профессии, занятия / Мамандықтар, кәсiптер
өрт сөндіруші	пожарный	Профессии, занятия / Мамандықтар, кәсiптер
пошташы	почтальон	Профессии, занятия / Мамандықтар, кәсiптер
президент	президент	Профессии, занятия / Мамандықтар, кәсiптер
редактор	редактор	Профессии, занятия / Мамандықтар, кәсiптер
режиссер	режиссер	Профессии, занятия / Мамандықтар, кәсiптер
репетитор	репетитор	Профессии, занятия / Мамандықтар, кәсiптер
сазгер	композитор	Профессии, занятия / Мамандықтар, кәсiптер
сарапшы	специалист, эксперт	Профессии, занятия / Мамандықтар, кәсiптер
сатушы	продавец	Профессии, занятия / Мамандықтар, кәсiптер
сәулетші	архитектор	Профессии, занятия / Мамандықтар, кәсiптер
студент	студент	Профессии, занятия / Мамандықтар, кәсiптер
суретші	художник	Профессии, занятия / Мамандықтар, кәсiптер
сырнайшы	гармонист	Профессии, занятия / Мамандықтар, кәсiптер
талапкер	абитуриент	Профессии, занятия / Мамандықтар, кәсiптер
талдаушы	аналитик	Профессии, занятия / Мамандықтар, кәсiптер
теннисші	теннисист	Профессии, занятия / Мамандықтар, кәсiптер
тергеуші	следователь	Профессии, занятия / Мамандықтар, кәсiптер
тыңдаушы	слушатель	Профессии, занятия / Мамандықтар, кәсiптер
тігінші	портной, швея	Профессии, занятия / Мамандықтар, кәсiптер
тілші	корреспондент	Профессии, занятия / Мамандықтар, кәсiптер
тіс дәрігер	стоматолог	Профессии, занятия / Мамандықтар, кәсiптер
ұшқыш	летчик	Профессии, занятия / Мамандықтар, кәсiптер
үлгіші	модельер	Профессии, занятия / Мамандықтар, кәсiптер
хатшы	секретарь	Профессии, занятия / Мамандықтар, кәсiптер
шабандоз	наездник	Профессии, занятия / Мамандықтар, кәсiптер
шаштараз	парикмахер	Профессии, занятия / Мамандықтар, кәсiптер
іс жүргізуші	делопроизводитель	Профессии, занятия / Мамандықтар, кәсiптер
автотұрақ	автостоянка	Места, здания
аймақ	край, территория	Места, здания
алаң	площадь	Места, здания
аудан	район	Места, здания
аула	двор	Места, здания
аурухана	больница	Места, здания
ауыл	аул	Места, здания
аялдама	остановка	Места, здания
әуежай	аэропорт	Места, здания
базар	базар, рынок	Места, здания
бақ	сад	Места, здания
бақша	огород	Места, здания
балабақша	детский сад	Места, здания
банк	банк	Места, здания
баспа	издательство	Места, здания
баспахана	типография	Места, здания
бекет	станция	Места, здания
вокзал	вокзал	Места, здания
ғимарат	здание	Места, здания
дала	степь	Места, здания
даңғыл	проспект	Места, здания
дәмхана	кафе	Места, здания
дәріхана	аптека	Места, здания
дүкен	магазин	Места, здания
емхана	поликлиника	Места, здания
жаға	берег	Места, здания
жағажай	пляж	Места, здания
жайылым	пастбище	Места, здания
жақ	край, сторона	Места, здания
жатақхана	общежитие	Места, здания
жәрмеңке	ярмарка	Места, здания
жол	дорога	Места, здания
көпір	мост	Места, здания
көрме	выставка	Места, здания
көше	улица	Места, здания
кітапхана	библиотека	Места, здания
қала	город	Места, здания
қиылыс	пересечение, перекрёсток	Места, здания
қонақ үй	гостиница	Места, здания
құдық	колодец	Места, здания
мекеме	учреждение	Места, здания
мектеп	школа	Места, здания
монша	баня	Места, здания
мұз айдыны	ледовый каток	Места, здания
мұражай	музей	Места, здания
пошта	почта	Места, здания
сарай	дворец	Места, здания
сауда үйі	торговый дом	Места, здания
сахна	сцена	Места, здания
саябақ	парк	Места, здания
театр	театр	Места, здания
темір жол	железная дорога	Места, здания
түрме	тюрьма	Места, здания
үй	дом, жилище	Места, здания
шаштараз	парикмахерская	Места, здания
шет	край, окраина	Места, здания
шипажай	санаторий	Места, здания
шіркеу	церковь	Места, здания
арка	арка	Части зданий
ас үй	кухня	Части зданий
асхана	столовая	Части зданий
әжетхана	туалет	Части зданий
баспалдақ	ступенька, лестница	Части зданий
босаға	порог (дома)	Части зданий
бөлме	комната	Части зданий
бұрыш	угол	Части зданий
дәліз	прихожая	Части зданий
еден	пол	Части зданий
есік	дверь	Части зданий
жатын бөлме	спальня	Части зданий
жуынатын бөлме	ванная	Части зданий
кеңсе	офис	Части зданий
күту залы	зал ожидания	Части зданий
кіре беріс	подъезд	Части зданий
қабат	этаж	Части зданий
қабылдау бөлмесі	приёмная	Части зданий
қабырға	стена	Части зданий
қақпа	ворота	Части зданий
қонақ бөлме	гостиная	Части зданий
пәтер	квартира	Части зданий
сынып	класс	Части зданий
терезе	окно	Части зданий
төбе	потолок, верх, крыша	Части зданий
төр	почётное место	Части зданий
автобус	автобус	Транспорт
велосипед	велосипед	Транспорт
жедел жәрдем	скорая помощь	Транспорт
кеме	корабль	Транспорт
көлік	транспорт	Транспорт
қайық	лодка	Транспорт
мотоцикл	мотоцикл	Транспорт
өрт машинасы	пожарная машина	Транспорт
пойыз	поезд	Транспорт
трамвай	трамвай	Транспорт
ұшақ	самолёт	Транспорт
алжапқыш	фартук	одежда, украшения
алқа	колье, ожерелье	одежда, украшения
аяқ киім	обувь	одежда, украшения
әшекей	украшение	одежда, украшения
бас киім	головной убор	одежда, украшения
бау	шнурок, завязка, лента	одежда, украшения
бәтеңке	ботинок	одежда, украшения
белбеу	пояс	одежда, украшения
белдемше	юбка, передник	одежда, украшения
белдік	ремень	одежда, украшения
білезік	браслет	одежда, украшения
галстук	галстук	одежда, украшения
етік	сапог	одежда, украшения
жаға	воротник	одежда, украшения
жамылғы	накидка	одежда, украшения
жейде	рубашка	одежда, украшения
желетке	жилет	одежда, украшения
жемпір	свитер	одежда, украшения
жең	рукав	одежда, украшения
жүзік	перстень	одежда, украшения
зергерлік бұйымдар	ювелирные изделия	одежда, украшения
киім	одежда	одежда, украшения
костюм	костюм	одежда, украшения
көзілдірік	очки	одежда, украшения
көйлек	платье, рубашка	одежда, украшения
күрте	кофта	одежда, украшения
күртке	куртка	одежда, украшения
қалпақ	шляпа	одежда, украшения
қалта	карман	одежда, украшения
қолғап	перчатка	одежда, украшения
құлақшын	шапка-ушанка	одежда, украшения
моншақ	бусы	одежда, украшения
өкше	каблук	одежда, украшения
пальто	пальто	одежда, украшения
сақина	кольцо	одежда, украшения
сырға	серьга	одежда, украшения
тақия	тюбетейка	одежда, украшения
телпек	шапочка	одежда, украшения
тон	шуба	одежда, украшения
тұмар	амулет	одежда, украшения
тымақ	шапка без ушей	одежда, украшения
халат	халат	одежда, украшения
шалбар	брюки	одежда, украшения
шапан	чапан	одежда, украшения
шарф	шарф	одежда, украшения
шолақ шалбар	шорты	одежда, украшения
шұлық	носок	одежда, украшения
ілмек	запонка	одежда, украшения
аққұман	чайник	посуда
ас қасық	столовая ложка	посуда
бөтелке	бутылка	посуда
қасық	ложка	посуда
құмыра	кувшин	посуда
пышақ	нож	посуда
саптыаяқ	кружка	посуда
стақан	стакан	посуда
таба	сковорода	посуда
табақ	блюдо	посуда
табақша	блюдце	посуда
тайпақ таба	низкая сковорода	посуда
тәрелке	тарелка	посуда
шай қасық	чайная ложка	посуда
шанышқы	вилка	посуда
шәйнек	чайник	посуда
шұңғыл таба	глубокая сковорода	посуда
ыдыс	посуда	посуда
айна	зеркало	Электроприборы, мебель, канцтовары и другие предметы
ара	пила	Электроприборы, мебель, канцтовары и другие предметы
арба	тележка, воз	Электроприборы, мебель, канцтовары и другие предметы
арқан	канат, веревка, трос	Электроприборы, мебель, канцтовары и другие предметы
аспап	инструмент	Электроприборы, мебель, канцтовары и другие предметы
ашық хат	телеграмма, открытка	Электроприборы, мебель, канцтовары и другие предметы
әмиян	кошелёк	Электроприборы, мебель, канцтовары и другие предметы
әткеншек	карусель, качели	Электроприборы, мебель, канцтовары и другие предметы
бағдаршам	светофор	Электроприборы, мебель, канцтовары и другие предметы
балға	молоток	Электроприборы, мебель, канцтовары и другие предметы
балта	топор	Электроприборы, мебель, канцтовары и другие предметы
бейнекамера	видеокамера	Электроприборы, мебель, канцтовары и другие предметы
бояу	краски	Электроприборы, мебель, канцтовары и другие предметы
бұйым	изделие	Электроприборы, мебель, канцтовары и другие предметы
газет	газета	Электроприборы, мебель, канцтовары и другие предметы
гүлсауыт	ваза для цветов	Электроприборы, мебель, канцтовары и другие предметы
далап	помада	Электроприборы, мебель, канцтовары и другие предметы
дастарқан	скатерть, стол	Электроприборы, мебель, канцтовары и другие предметы
дәптер	тетрадь	Электроприборы, мебель, канцтовары и другие предметы
домбыра	домбра	Электроприборы, мебель, канцтовары и другие предметы
доп	мяч	Электроприборы, мебель, канцтовары и другие предметы
дорба	сумка, мешочек	Электроприборы, мебель, канцтовары и другие предметы
егеу	напильник	Электроприборы, мебель, канцтовары и другие предметы
жалау	флаг, стяг	Электроприборы, мебель, канцтовары и другие предметы
жастық	подушка	Электроприборы, мебель, канцтовары и другие предметы
жәшік	ящик	Электроприборы, мебель, канцтовары и другие предметы
жебе	стрела	Электроприборы, мебель, канцтовары и другие предметы
желдеткіш	вентилятор	Электроприборы, мебель, канцтовары и другие предметы
желім	клей	Электроприборы, мебель, канцтовары и другие предметы
жиһаз	мебель	Электроприборы, мебель, канцтовары и другие предметы
жолдорба	рюкзак	Электроприборы, мебель, канцтовары и другие предметы
жүк	груз, багаж	Электроприборы, мебель, канцтовары и другие предметы
жүлде	приз	Электроприборы, мебель, канцтовары и другие предметы
жіп	нитка	Электроприборы, мебель, канцтовары и другие предметы
зат	вещь, предмет	Электроприборы, мебель, канцтовары и другие предметы
ине	игла	Электроприборы, мебель, канцтовары и другие предметы
карта	карта	Электроприборы, мебель, канцтовары и другие предметы
кәдесый	сувенир	Электроприборы, мебель, канцтовары и другие предметы
кереует	кровать	Электроприборы, мебель, канцтовары и другие предметы
күрек	лопата	Электроприборы, мебель, канцтовары и другие предметы
кілт	ключ	Электроприборы, мебель, канцтовары и другие предметы
кір жуғыш машина	стиральная машина	Электроприборы, мебель, канцтовары и другие предметы
кітап	книга	Электроприборы, мебель, канцтовары и другие предметы
қағаз	бумага	Электроприборы, мебель, канцтовары и другие предметы
қайшы	ножницы	Электроприборы, мебель, канцтовары и другие предметы
қалам	ручка	Электроприборы, мебель, канцтовары и другие предметы
қап	мешок	Электроприборы, мебель, канцтовары и другие предметы
қарындаш	карандаш	Электроприборы, мебель, канцтовары и другие предметы
қоқыс	мусор	Электроприборы, мебель, канцтовары и другие предметы
қоқыс шелек	мусорное ведро	Электроприборы, мебель, канцтовары и другие предметы
қолшатыр	зонт	Электроприборы, мебель, канцтовары и другие предметы
қоңырау	колокольчик	Электроприборы, мебель, канцтовары и другие предметы
қорап	коробка	Электроприборы, мебель, канцтовары и другие предметы
қуыршақ	кукла	Электроприборы, мебель, канцтовары и другие предметы
құлып	замок	Электроприборы, мебель, канцтовары и другие предметы
қыл қалам	кисть	Электроприборы, мебель, канцтовары и другие предметы
майлық	салфетка	Электроприборы, мебель, канцтовары и другие предметы
мұқаба	обложка	Электроприборы, мебель, канцтовары и другие предметы
мылтық	ружье	Электроприборы, мебель, канцтовары и другие предметы
найза	копьё	Электроприборы, мебель, канцтовары и другие предметы
нәрсе	вещь, предмет	Электроприборы, мебель, канцтовары и другие предметы
ойыншық	игрушка	Электроприборы, мебель, канцтовары и другие предметы
оқтау	скалка	Электроприборы, мебель, канцтовары и другие предметы
оқулық	учебник	Электроприборы, мебель, канцтовары и другие предметы
орамал	платок, полотенце	Электроприборы, мебель, канцтовары и другие предметы
орындық	стул	Электроприборы, мебель, канцтовары и другие предметы
өшіргіш	резинка	Электроприборы, мебель, канцтовары и другие предметы
парақ	лист (бумаги)	Электроприборы, мебель, канцтовары и другие предметы
перде	штора	Электроприборы, мебель, канцтовары и другие предметы
пернетақта	клавиатура	Электроприборы, мебель, канцтовары и другие предметы
сабын	мыло	Электроприборы, мебель, канцтовары и другие предметы
сағат	часы	Электроприборы, мебель, канцтовары и другие предметы
садақ	лук, колчан	Электроприборы, мебель, канцтовары и другие предметы
салқындатқыш	кондиционер	Электроприборы, мебель, канцтовары и другие предметы
себет	корзина	Электроприборы, мебель, канцтовары и другие предметы
соқа	плуг	Электроприборы, мебель, канцтовары и другие предметы
сөздік	словарь	Электроприборы, мебель, канцтовары и другие предметы
сөмке	сумка	Электроприборы, мебель, канцтовары и другие предметы
сөре	полка, витрина	Электроприборы, мебель, канцтовары и другие предметы
сурет	рисунок, картина	Электроприборы, мебель, канцтовары и другие предметы
сусабын	шампунь	Электроприборы, мебель, канцтовары и другие предметы
сызғыш	линейка	Электроприборы, мебель, канцтовары и другие предметы
сыйлық	подарок	Электроприборы, мебель, канцтовары и другие предметы
сылдырмақ	погремушка	Электроприборы, мебель, канцтовары и другие предметы
сыпырғыш	веник	Электроприборы, мебель, канцтовары и другие предметы
сіріңке	спичка	Электроприборы, мебель, канцтовары и другие предметы
тақта	доска	Электроприборы, мебель, канцтовары и другие предметы
таразы	весы	Электроприборы, мебель, канцтовары и другие предметы
тарақ	расчёска	Электроприборы, мебель, канцтовары и другие предметы
теледидар	телевизор	Электроприборы, мебель, канцтовары и другие предметы
тоңазытқыш	холодильник	Электроприборы, мебель, канцтовары и другие предметы
тор	клетка, сетка	Электроприборы, мебель, канцтовары и другие предметы
төсек	постель, кровать	Электроприборы, мебель, канцтовары и другие предметы
ту	флаг, знамя	Электроприборы, мебель, канцтовары и другие предметы
тұсқағаз	обои	Электроприборы, мебель, канцтовары и другие предметы
тұтқа	ручка (двери)	Электроприборы, мебель, канцтовары и другие предметы
түйме	пуговица	Электроприборы, мебель, канцтовары и другие предметы
тінтуір	мышь (для компьютера)	Электроприборы, мебель, канцтовары и другие предметы
ұнтақ	порошок	Электроприборы, мебель, канцтовары и другие предметы
ұштағыш	точилка для карандашей	Электроприборы, мебель, канцтовары и другие предметы
ұялы телефон	сотовый телефон	Электроприборы, мебель, канцтовары и другие предметы
үстел	стол	Электроприборы, мебель, канцтовары и другие предметы
үтік	утюг	Электроприборы, мебель, канцтовары и другие предметы
фен	фен	Электроприборы, мебель, канцтовары и другие предметы
фотоаппарат	фотоаппарат	Электроприборы, мебель, канцтовары и другие предметы
фотосурет	фотография	Электроприборы, мебель, канцтовары и другие предметы
хат	письмо	Электроприборы, мебель, канцтовары и другие предметы
шам	лампа	Электроприборы, мебель, канцтовары и другие предметы
шана	санки	Электроприборы, мебель, канцтовары и другие предметы
шаңғы	лыжи	Электроприборы, мебель, канцтовары и другие предметы
шаңсорғыш	пылесос	Электроприборы, мебель, канцтовары и другие предметы
шатыр	палатка, крыша	Электроприборы, мебель, канцтовары и другие предметы
шелек	ведро	Электроприборы, мебель, канцтовары и другие предметы
шкаф	шкаф	Электроприборы, мебель, канцтовары и другие предметы
шынжыр	цепь	Электроприборы, мебель, канцтовары и другие предметы
ілгіш	вешалка	Электроприборы, мебель, канцтовары и другие предметы
